speaker,file,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std
Carla,Carla_Carla confirm transaction_noise.wav,-188.42293,54.01027,105.05977,37.413082,22.956547,17.774324,-7.7210207,16.964863,-17.023643,13.817341,-1.0670776,9.282164,-3.7446141,11.37288,-5.621565,9.914871,1.3907048,7.3543887,-0.27872273,7.2591605,-4.5294876,5.9559846,-1.8229715,5.9042726,-2.444547,5.76958,2440.772202203016,1061.9769292304247,2706.7948553785473,621.3947754608167,5137.166907269022,2636.3149373795227,0.11915336277173913,0.07652075131724877,0.08938432,0.08834567
Carla,Carla_Carla confirm transaction_pitch.wav,-267.08044,83.76867,155.84607,35.09233,-13.701545,28.044598,-11.46931,12.621848,-22.42199,16.43531,10.856905,15.255232,-14.809651,17.611767,0.5836076,13.038028,-0.048443288,11.202308,-6.588627,9.826923,-7.1058006,7.5639386,-0.23127964,8.903021,-12.131574,10.738198,1376.3041772857887,764.5887379502069,1442.5422136779036,560.1056766008503,2387.3768682065215,1731.24466224591,0.08510105298913044,0.06603619082377774,0.061686154,0.060269084
Carla,Carla_Carla confirm transaction_stretch.wav,-283.60486,79.62908,165.89133,36.88939,-2.5692544,24.486858,0.7754494,17.520992,-28.058258,23.36398,7.0383177,16.580572,-5.885464,16.865135,-7.7519794,12.434942,3.017747,8.584216,0.5919245,7.744974,-7.0388484,7.290957,-1.2557054,6.9286942,-0.5967658,7.267536,1160.6180202075604,645.1304397867233,1222.0843323538127,476.1960387843266,2017.5813802083333,1485.871399623435,0.07204137731481482,0.05272656336024468,0.057306495,0.058126424
Carla,Carla_Carla yes Approve_noise.wav,-221.65337,55.793697,80.14349,38.937756,30.505138,15.058141,7.3020816,13.437526,-8.656298,12.395527,-0.7665782,11.547662,-5.541313,10.498323,-5.3208146,11.166475,-0.089875355,6.3879113,-2.1070876,7.4111156,-4.167956,7.013273,-1.8428805,6.387299,-0.74305654,6.742224,3130.676955681587,1379.5797329938896,2973.3201505645584,564.4743058140584,6433.497234594042,2634.5012387513025,0.19126934871495327,0.12424811132451231,0.08005881,0.11863819
Carla,Carla_Carla yes Approve_pitch.wav,-314.6826,90.844025,135.73915,38.904305,11.134076,20.316923,-3.467538,19.722107,-19.425022,18.057423,7.440106,15.455643,-15.020031,14.649308,0.8441797,12.90304,-2.281275,12.034307,-5.9590907,12.232599,-4.8058286,7.955487,0.9678249,9.908015,-6.251987,7.6932087,1521.672003946571,920.7114933862675,1677.6382121018366,697.8332548290995,2884.845484082944,2102.443694238984,0.09172386098130841,0.07541358745432783,0.051107295,0.07072479
Carla,Carla_Carla yes Approve_stretch.wav,-323.91324,84.82108,137.89719,40.805565,19.958273,22.678627,10.772973,21.63251,-18.798655,17.830826,6.973196,17.143417,-8.147483,16.301313,-8.322536,13.18285,2.4512432,9.082934,-1.4461521,9.435027,-5.8630667,8.355044,-2.6680567,5.6235337,0.39152145,8.822447,1253.757642996136,773.1470792144213,1404.3949579237926,585.5001874548411,2350.0244140625,1762.4180001940379,0.0768035404265873,0.06730287509037026,0.059736993,0.089826934
Francis,Francis_Francis Confirm transaction 1_noise.wav,-258.61322,77.362114,29.468523,50.58861,-2.6565166,16.795408,-1.0693322,19.62843,-6.9537115,13.752189,-6.934183,13.645126,-8.654703,13.474185,2.7305598,7.3989253,-2.7250185,4.9626064,-4.8778825,7.7689443,-5.0581527,9.106128,-2.9658458,6.826447,-3.615419,7.214608,4377.970586046811,1522.9416533241524,2907.7260878108827,449.61499425373347,7672.007091009795,2459.81280078129,0.3677923857276119,0.16345729161990538,0.03596612,0.0470589
Francis,Francis_Francis Confirm transaction 1_pitch.wav,-471.71216,200.20085,55.762287,60.19126,-19.390705,32.38884,-4.516117,22.300686,-22.65418,22.888382,-9.494497,17.09192,-10.859714,16.184004,6.5538626,11.831371,-17.308638,22.524004,-3.5160964,8.712766,-13.472147,12.745549,-1.0253931,9.916142,-15.056551,14.018065,2382.5481630097543,1362.9088217482658,2154.226009772887,1042.1269966429077,4826.410367595616,2816.2655684679467,0.12887345499067165,0.10264922574867638,0.022883736,0.032854795
Francis,Francis_Francis Confirm transaction 1_stretch.wav,-465.61346,180.99272,65.13919,68.89321,-17.75032,31.430735,5.575817,27.86083,-20.710123,25.581266,-6.537868,15.180423,-20.933496,23.602448,6.1870837,12.281331,-7.6507387,10.20682,-5.1559753,9.772675,-8.2739105,12.76072,-5.916315,10.361878,-4.306032,7.260625,2078.2632956371476,1240.764959495274,1940.5019119717174,1040.5020944909254,4256.7850878284235,2689.8635803950647,0.10623693769904459,0.08505860203081812,0.023373252,0.034282617
Francis,Francis_Francis Confirm transaction 2_noise.wav,-265.94254,72.1927,26.610117,48.660107,-0.74167234,16.214556,0.017819757,17.851597,-7.368072,13.995212,-8.586601,17.214602,-5.9626055,12.231581,4.225412,9.545935,-3.121842,5.2528343,-5.8866086,8.538726,-2.6785524,6.9827914,-0.45056415,6.2432246,-3.707662,7.4757996,4473.089204784406,1465.984719650872,2949.8714996719723,445.2117597922366,7853.350913687928,2347.673086675585,0.3688563516695205,0.16300626099329937,0.033166856,0.047649216
Francis,Francis_Francis Confirm transaction 2_pitch.wav,-468.2461,177.79773,44.738373,59.702538,-13.874148,27.941048,-4.9025965,21.258947,-19.099842,23.836151,-9.246449,17.903843,-3.4401839,14.638408,4.6803155,11.575233,-18.00826,22.969318,-2.6910145,6.508057,-7.546982,9.635343,-2.7412813,7.7034683,-10.052743,12.926338,2586.6076117051734,1412.7962972327518,2303.4459898809773,1076.4593546544972,5354.835656571062,3052.7488733235523,0.14136745505136986,0.09796665503827462,0.020982789,0.033358455
Francis,Francis_Francis Confirm transaction 2_stretch.wav,-503.66904,188.58865,59.56397,70.27736,-15.672646,30.011688,5.9609966,26.96782,-21.628569,28.232841,-6.577497,15.82358,-15.81439,24.013649,11.718343,16.291065,-8.976637,12.381107,-6.7277226,10.778456,-6.7489886,9.810365,-3.4640045,7.3848095,-6.092829,8.540273,2324.6973547678203,1310.5042643868096,2107.8454392152844,1084.0098846102408,4852.085474917763,2902.37904878199,0.12565675255847952,0.09033346392601513,0.019795408,0.030961016
Francis,Francis_Francis Yes approve 1_noise.wav,-268.4393,59.49068,17.006859,49.733418,5.229999,15.256338,3.9762402,18.831135,-10.865748,21.831514,-4.1738386,21.557579,-10.209878,16.537468,6.036158,10.177229,-0.6041456,4.680352,-5.749279,10.724026,-6.303701,9.94823,-3.1660438,8.382125,-2.380757,5.9935403,4617.906693788956,1355.2211403751453,2900.8712117374625,576.8177833126533,7934.891728940217,2087.4653463109967,0.3815344769021739,0.15581513745624959,0.038338307,0.0535873
Francis,Francis_Francis Yes approve 1_pitch.wav,-484.56088,174.63664,40.610115,77.157326,-10.3172035,27.97089,-2.1691241,28.134775,-27.441061,24.285433,-9.63522,26.853203,-13.5430155,22.916721,16.975836,18.24933,-27.595013,28.712036,-4.3202868,11.727218,-14.268856,13.255506,5.510463,12.431173,-16.440376,12.597111,2963.8427171728003,2024.786225986456,1979.4106790487297,989.4030558547128,5000.290633491848,3053.978884943497,0.2205163043478261,0.19642678050465484,0.023287812,0.034985863
Francis,Francis_Francis Yes approve 1_stretch.wav,-475.13605,153.3264,49.44095,75.797905,-12.609082,27.788002,13.027679,34.581318,-26.336002,31.772814,-2.678982,27.229986,-27.482557,28.228094,17.180103,20.140388,-5.8505507,8.530769,-10.210694,15.607717,-11.241165,16.555023,-5.821223,9.943387,0.9699247,6.316883,2528.1020985922373,1762.4209447056146,1712.999017508784,925.281017611018,4254.074276194853,2745.74387662431,0.1913775275735294,0.1702345705790023,0.024866179,0.03792441
Francis,Francis_Francis Yes approve 2_noise.wav,-274.3848,59.288837,14.812559,46.11253,3.8695729,13.88576,3.0270019,16.230976,-10.564778,20.83629,-4.4565706,20.896952,-7.737681,14.093311,6.2860546,9.701901,-0.55215967,5.6728363,-6.538567,10.923412,-5.6472197,9.479816,-2.5212357,7.7206545,-3.6074011,6.97904,4719.546249929635,1339.1311433783337,2903.954444068723,536.1986521423305,8008.165861430921,2149.7521374797934,0.393562030075188,0.1533825595813335,0.03276382,0.04653061
Francis,Francis_Francis Yes approve 2_pitch.wav,-471.88715,150.50981,35.21618,68.458626,-4.070683,22.347252,-5.790998,25.043991,-24.320051,23.799934,-8.357746,26.646778,-5.778059,16.131353,11.897221,15.591467,-25.280985,27.065903,-7.1002517,12.531553,-7.939569,9.769884,0.30050206,9.069733,-7.762084,10.3610115,2892.3381938499583,1930.9510713805348,2097.4568322950677,1007.3783530759773,5173.392526726973,3011.7711397644553,0.1897982260338346,0.1816384220359965,0.02134629,0.03314446
Francis,Francis_Francis Yes approve 2_stretch.wav,-483.33865,148.4952,45.99424,70.839035,-7.803944,21.566751,9.116247,30.523668,-26.815142,33.57012,-5.829529,25.201649,-21.408648,23.99209,17.118195,19.277216,-5.6032205,9.475726,-12.334043,15.322702,-10.427486,15.396162,-5.2390904,8.646851,-4.4426613,6.8992095,2512.0681920502707,1654.4578483872347,1881.857919705835,989.1710828372927,4596.441650390625,2724.8505254710158,0.1668575971554487,0.15815769059947501,0.021064263,0.032827944
Gabriel,Gabriel_Gabriel Yes approve_noise.wav,-227.33723,54.470882,54.06511,34.707874,24.53528,23.699598,24.901854,19.194746,23.960281,15.537876,-0.055056565,15.5254545,7.626652,7.8625374,1.6907233,6.9313707,-1.1456286,6.2221847,0.50066626,6.5615697,0.7135442,10.5553465,3.8230255,6.9803276,1.7091192,4.9081054,3794.9092167320987,1684.9477632737805,3170.090967949985,541.2032237863466,7497.896059097782,2358.4716234724306,0.20053002142137097,0.19385045696268824,0.057580378,0.059080165
Gabriel,Gabriel_Gabriel Yes approve_pitch.wav,-321.69308,85.750755,107.85244,44.13058,1.9627424,29.04787,41.72861,23.11937,13.0393095,17.130522,-6.789535,17.769966,12.66255,11.469903,-8.649972,10.826929,2.786882,8.463937,1.7969812,13.619331,4.9318295,10.792337,2.5776994,8.062029,3.5179675,11.190411,2189.4172674433703,1614.6338361442163,2258.1309689190866,710.0297508898415,4335.9882970010085,2569.5787434504455,0.10634293094758064,0.16216887245983327,0.037001587,0.040887512
Gabriel,Gabriel_Gabriel Yes approve_stretch.wav,-324.47852,87.74548,105.53276,52.42136,5.897394,31.204042,30.238888,21.76706,31.924774,16.917582,-8.975956,19.472124,14.024226,9.970753,0.5587699,11.553932,-3.400529,9.047416,2.9615285,7.800639,-0.0381133,14.783088,5.3800335,11.270723,-0.5286604,6.270443,2368.3727865579062,2077.887151819074,2229.9644433368703,729.767485141665,4302.185479525862,2961.310607726063,0.13480266702586208,0.21540477880670048,0.040437404,0.041891433
Gabriel,Gabriel_Gabriel confirm transaction_noise.wav,-220.33215,54.45864,63.896202,32.000748,14.20807,23.578142,21.179804,12.153047,16.203854,10.881489,0.74254173,13.968728,2.3866277,7.462223,-3.848888,9.485906,-4.9631524,9.637943,-2.2554116,8.187055,3.96949,7.06319,6.090044,6.49697,1.3046682,5.702195,3342.605122576868,1188.3968315141312,3094.557051015948,531.9876566727474,7014.1188401442305,2202.696323288768,0.17484642094017094,0.09131587053673137,0.047518887,0.04600571
Gabriel,Gabriel_Gabriel confirm transaction_pitch.wav,-317.4167,95.04674,123.241486,40.52782,-16.632639,26.774916,40.778774,15.744502,0.4256487,15.404217,-0.39763117,14.471189,0.15286532,13.099409,-10.904553,14.441525,1.8408785,11.972754,4.3357573,11.150892,9.699697,9.36209,-0.6515586,6.1726575,-2.0550456,7.105557,1710.9571601881544,774.7937151177125,1912.4726658170005,466.50150114586955,3521.0467998798076,1521.4393678364452,0.08366302751068376,0.0629944815115188,0.029849896,0.027008569
Gabriel,Gabriel_Gabriel confirm transaction_stretch.wav,-325.0099,94.98287,123.95339,43.336037,-11.294169,28.053694,30.132898,13.90807,18.252031,11.239173,-7.6148715,20.650545,9.50799,12.099243,-10.150327,12.974819,-5.247271,10.213529,-3.6140392,10.832926,2.816094,9.239926,9.658146,10.069509,-1.6364359,6.843737,1746.5610137080307,1096.3469783742712,1976.7293895068435,693.6614186810538,3510.6142790421195,2149.3510364815825,0.09054786571557971,0.08820222702459399,0.032285728,0.03266914
Gaddiel,Gaddiel_Yes approve G1_noise.wav,-289.19296,31.231234,16.331644,31.343744,17.28964,19.30978,12.569072,15.844922,6.450344,8.602493,5.6364255,7.57921,-0.96735555,8.696621,-3.3229468,9.323541,-3.6050646,7.751825,-0.7980442,5.603808,-2.9204123,8.18808,-3.1886754,7.0175185,-0.17895903,4.9928865,4680.003601418008,1135.2310995851922,3234.8454836812634,262.09807935770806,8675.999317354368,966.1868403221664,0.3090630688713592,0.1808271924365697,0.016559362,0.016417101
Gaddiel,Gaddiel_Yes approve G1_pitch.wav,-521.5745,137.63803,74.69369,66.01641,36.035564,31.147125,21.184952,21.188623,5.0147476,12.8403635,4.054088,11.085027,-9.750954,18.255966,-9.3700695,14.512907,-0.7854059,6.7541585,-2.4882717,12.652785,-5.659395,12.75076,10.670044,10.003759,5.6768456,7.7613497,2162.189048285297,2042.2094933007793,2077.3029972309146,914.6880597165065,3976.0118799302186,3351.961576339459,0.12127863319174757,0.17714957895657732,0.010445789,0.01266897
Gaddiel,Gaddiel_Yes approve G1_stretch.wav,-529.24426,138.53127,73.89679,66.851776,35.13144,29.702919,27.630632,21.965343,8.407946,11.219865,11.326927,16.694262,-0.7253965,12.225417,-6.543655,14.612455,-6.775266,10.229359,4.020614,6.1593103,-7.8374486,13.030628,-4.2602654,8.693686,5.0302405,6.692483,2013.8755706841207,1882.2132180592296,2011.3896937109996,885.9367545035744,3695.768362576844,3183.94906622185,0.10751793032786885,0.15892993235106867,0.010142281,0.011922845
Gaddiel,Gaddiel_confirm transaction G1_noise.wav,-287.62073,36.1625,21.66627,33.777557,8.877921,15.02021,5.8213105,9.92422,5.3071795,7.024919,4.0520635,6.0742035,0.20975949,3.842647,-4.6669855,8.353344,-5.8185496,9.217039,-1.0846635,7.2443614,-1.1594921,5.6478615,-2.1271825,5.837975,0.642655,4.692849,4647.6774507722575,1055.9011046392618,3248.691806993014,174.56934316054668,8710.427227457061,982.6546860449466,0.34238579437022904,0.14064967485048008,0.012495783,0.012224618
Gaddiel,Gaddiel_confirm transaction G1_pitch.wav,-527.39105,149.44913,80.76956,56.210815,14.828766,27.6879,15.818851,16.218826,7.813169,10.739693,7.3299265,8.508114,0.22393525,14.302946,-11.132871,23.645067,1.4058429,11.687023,6.7206154,8.971719,-3.1978066,10.582423,5.4753237,8.143819,11.792963,7.4835896,1552.9940192693941,1202.8812739657071,2030.927042373951,793.3648845637927,3036.017265028626,2649.2891636175323,0.06970121660305344,0.08687081762838655,0.0075947274,0.0106987655
Gaddiel,Gaddiel_confirm transaction G1_stretch.wav,-544.04517,156.00975,88.85388,58.689476,18.560287,28.356339,16.83199,17.194666,8.197462,13.679952,8.898028,10.188367,8.139755,9.847048,-2.576547,16.0208,-9.737297,21.103727,7.341827,9.227635,0.84656334,9.614115,-2.7002947,9.323405,-2.0340505,9.468124,1498.7502976738142,1132.9074042765812,2027.6673020950848,801.0173856871279,3030.2390358664775,2517.4985126117817,0.06229707792207792,0.08280575798983597,0.007670372,0.011233305
Gaddiel,Gaddiel_confirm transaction G2_noise.wav,-289.44235,33.083622,20.290867,30.728958,11.019069,16.48886,7.995553,10.04837,4.097403,7.374075,3.6979992,5.502087,2.3517327,4.205421,-2.2008324,8.082355,-4.848906,9.273925,-2.16938,7.988677,-2.4442205,6.6782904,-1.7341074,5.52719,0.41822672,4.586411,4674.8291382499865,990.9738907245754,3265.4796422460868,152.9521595085367,8770.570775082237,787.2409496187464,0.3420281661184211,0.1412733688347869,0.011780295,0.0096869
Gaddiel,Gaddiel_confirm transaction G2_pitch.wav,-557.64453,171.02345,97.34951,48.405495,22.505022,25.63026,16.349947,19.305267,4.6065116,10.446803,7.906359,9.128675,5.5611367,15.77034,-11.37939,22.268944,-1.1079357,11.752043,3.3600385,10.267519,-3.0256915,8.572013,6.4828568,9.292987,11.329228,6.173229,1541.993425787719,1091.168439611779,2087.704081633435,718.6079986268693,3031.810238486842,2465.23271516725,0.0666742539943609,0.0799724714467622,0.0064762104,0.0073722145
Gaddiel,Gaddiel_confirm transaction G2_stretch.wav,-569.0523,171.97675,101.4017,50.169304,23.976416,28.82414,20.53275,18.11431,5.175366,14.555803,7.5287156,10.995916,10.486565,10.253594,0.8590437,14.454909,-11.031889,20.612324,7.68739,8.810769,-2.742004,12.997348,-1.498306,7.1760488,-1.2615706,9.9268265,1457.5258152012552,1042.7898957745963,2038.777360593956,703.5449940752922,2796.7627892127402,2319.5253776856252,0.05971116286057692,0.07766956723144873,0.00631335,0.0072058025
Gaddiel,Gaddiel_yes approve G2_noise.wav,-300.83542,25.986174,9.597314,25.824738,12.280553,15.856214,10.04862,13.068781,4.783677,9.039938,4.120817,5.625206,0.5381025,6.222448,-1.2436256,6.4790106,-0.9976116,5.9520636,-1.100172,5.7800765,-0.8707933,6.5556297,-0.2547254,5.1552644,0.67293555,4.532367,4998.874273396953,892.7880334953758,3238.58777684324,192.07399035793125,8996.288494731105,661.8808325784894,0.390625,0.13388578309451263,0.010167931,0.0091950875
Gaddiel,Gaddiel_yes approve G2_pitch.wav,-604.6672,140.58849,99.63316,58.34688,40.864113,24.990414,15.511292,24.047201,1.0351921,11.5060425,9.050624,10.787806,1.1831658,19.1308,-2.3674936,17.41859,3.4402494,6.332138,-0.93410933,11.089887,-1.4368038,7.7828417,6.371086,10.138773,9.045316,5.403596,1542.9308977168462,1703.8563920654958,1909.7853399266226,724.4719464958356,2701.832757994186,3018.65978850689,0.07960876937984496,0.15011642534995975,0.0053098327,0.006995102
Gaddiel,Gaddiel_yes approve G2_stretch.wav,-610.57935,141.09528,93.552925,58.56082,44.628216,25.942356,21.783545,20.807707,3.995927,14.074634,6.68428,12.124918,6.0013156,12.167841,-2.2474868,17.712574,0.7730401,11.352228,4.6835084,7.5833135,-2.0899599,10.435702,-1.2255701,6.5373707,0.9234368,7.6502385,1531.73824337947,1588.8715128507406,1980.0614077578969,731.6568631345226,2615.3633519222863,2875.6417374229923,0.07418662623355263,0.1378802834786958,0.0051147733,0.0068629608
